ID_Candidate,firstname,lastname,gender,city,district,group
45805,Elisabeth,Weidmann,f,Pfäffikon ZH,Zürich,EVP/PEV
45806,Marianne,Spiess,f,Effretikon,Zürich,EVP/PEV
45807,Mark,Wisskirchen,m,Kloten,Zürich,EVP/PEV
45808,Niklaus (Nik),Gugger,m,Winterthur,Zürich,EVP/PEV
45809,Heidi,Kläusler-Gysin,f,Opfikon,Zürich,EVP/PEV
45810,Tanja,Boesch,f,Dübendorf,Zürich,EVP/PEV
45811,Katharina,Wachter,f,Elgg,Zürich,EVP/PEV
45812,Claudia,Rabelbauer,f,Zürich,Zürich,EVP/PEV
45813,Bruno,Kleeb,m,Bauma,Zürich,EVP/PEV
45814,Pia,Ernst,f,Wetzikon,Zürich,EVP/PEV
45815,Sandra,Rottensteiner,f,Urdorf,Zürich,EVP/PEV
45816,Peter,Anderegg,m,Zürich,Zürich,EVP/PEV
45817,Eveline,Fenner,f,Affoltern a.A.,Zürich,EVP/PEV
45818,Barbara,Huizinga-Kauer,f,Winterthur,Zürich,EVP/PEV
45819,Ernst,Danner,m,Zürich,Zürich,EVP/PEV
45820,Hanspeter,Hugentobler,m,Pfäffikon ZH,Zürich,EVP/PEV
45821,Michael,Bänninger,m,Winterthur,Zürich,EVP/PEV
45822,Mark,Eberli,m,Bülach,Zürich,EVP/PEV
45823,Katharina (Kati),Pflugshaupt,f,Zürich,Zürich,EVP/PEV
45824,Felix,Wirz,m,Zollikerberg,Zürich,EVP/PEV
45825,Felix,Ruther,m,Regensdorf,Zürich,EVP/PEV
45826,Renato,Pfeffer,m,Richterswil,Zürich,EVP/PEV
45827,Christina,Furrer,f,Henggart,Zürich,EVP/PEV
45828,David,Herzog,m,Winterthur,Zürich,others
45829,Stefan,Burch,m,Wetzikon,Zürich,EVP/PEV
45830,Ernest (Amos),Omoruyi,m,Winterthur,Zürich,EVP/PEV
45831,Walter,Meier,m,Uster,Zürich,EVP/PEV
45832,Ursula,Hänni-Hauser,f,Uetikon a. S.,Zürich,EVP/PEV
45833,Markus,Schaaf,m,Rämismühle,Zürich,EVP/PEV
45834,Nadine,Burtscher,f,Dietikon,Zürich,EVP/PEV
45835,Daniel,Sommer,m,Affoltern a.A.,Zürich,EVP/PEV
45836,Elsbeth,Kuster,f,Thalwil,Zürich,EVP/PEV
45837,Beat,Monhart,m,Gossau ZH,Zürich,EVP/PEV
45838,Roger,Föhn,m,Zürich,Zürich,EVP/PEV
45839,Tobias,Mani,m,Au,Zürich,EVP/PEV
45840,Barbara,Günthard-Fitze,f,Winterthur,Zürich,EVP/PEV
45841,Ingrid,Spiess,f,Stallikon,Zürich,EVP/PEV
45842,Karin,Sutter,f,Kloten,Zürich,EVP/PEV
45843,Silvia,Ulrich,f,Küsnacht,Zürich,EVP/PEV
45844,Emerita (Merita),Göldi,f,Uster,Zürich,EVP/PEV
45845,Sibylle,Schmid,f,Mettmenstetten,Zürich,EVP/PEV
45846,Rebekka,Altmann,f,Gossau,Zürich,EVP/PEV
45847,Gabriela,Monhart,f,Gossau,Zürich,EVP/PEV
45848,Ruth,Kleiber,f,Winterthur,Zürich,EVP/PEV
