party,canton,year,n,share
BDP,AG,2011,15,0.06666666666666667
BDP,AG,2015,32,0.34375
BDP,AG,2019,48,0.375
CVP,AG,1971,14,0.2857142857142857
CVP,AG,1975,14,0.21428571428571427
CVP,AG,1979,14,0.14285714285714285
CVP,AG,1983,14,0.14285714285714285
CVP,AG,1987,14,0.21428571428571427
CVP,AG,1991,14,0.2857142857142857
CVP,AG,1995,34,0.4411764705882353
CVP,AG,1999,30,0.3333333333333333
CVP,AG,2003,43,0.27906976744186046
CVP,AG,2007,28,0.32142857142857145
CVP,AG,2011,30,0.36666666666666664
CVP,AG,2015,23,0.391304347826087
CVP,AG,2019,127,0.33070866141732286
FDP,AG,1971,14,0.21428571428571427
FDP,AG,1975,14,0.21428571428571427
FDP,AG,1979,14,0.14285714285714285
FDP,AG,1983,14,0.21428571428571427
FDP,AG,1987,14,0.2857142857142857
FDP,AG,1991,14,0.35714285714285715
FDP,AG,1995,22,0.36363636363636365
FDP,AG,1999,15,0.3333333333333333
FDP,AG,2003,27,0.37037037037037035
FDP,AG,2007,29,0.3448275862068966
FDP,AG,2011,30,0.3
FDP,AG,2015,32,0.3125
FDP,AG,2019,32,0.34375
GLP,AG,2011,30,0.3
GLP,AG,2015,32,0.40625
GLP,AG,2019,46,0.30434782608695654
GPS,AG,1991,14,0.5
GPS,AG,1995,15,0.5333333333333333
GPS,AG,1999,30,0.5
GPS,AG,2003,15,0.5333333333333333
GPS,AG,2007,30,0.5333333333333333
GPS,AG,2011,30,0.7333333333333333
GPS,AG,2015,32,0.5
GPS,AG,2019,32,0.5
SP,AG,1971,14,0.21428571428571427
SP,AG,1975,14,0.21428571428571427
SP,AG,1979,14,0.14285714285714285
SP,AG,1983,14,0.14285714285714285
SP,AG,1987,14,0.21428571428571427
SP,AG,1991,14,0.5
SP,AG,1995,15,0.5333333333333333
SP,AG,1999,30,0.5666666666666667
SP,AG,2003,15,0.4666666666666667
SP,AG,2007,45,0.4888888888888889
SP,AG,2011,35,0.4
SP,AG,2015,32,0.5625
SP,AG,2019,74,0.527027027027027
SVP,AG,1971,14,0.14285714285714285
SVP,AG,1975,14,0.14285714285714285
SVP,AG,1979,14,0.07142857142857142
SVP,AG,1983,14,0.14285714285714285
SVP,AG,1987,14,0.14285714285714285
SVP,AG,1991,20,0.2
SVP,AG,1995,24,0.20833333333333334
SVP,AG,1999,30,0.2
SVP,AG,2003,30,0.23333333333333334
SVP,AG,2007,30,0.16666666666666666
SVP,AG,2011,38,0.18421052631578946
SVP,AG,2015,32,0.15625
SVP,AG,2019,32,0.25
CVP,AR,1975,2,0
CVP,AR,1983,1,0
CVP,AR,1991,1,0
CVP,AR,1995,1,0
FDP,AR,1971,2,0
FDP,AR,1975,2,0
FDP,AR,1979,1,0
FDP,AR,1983,1,0
FDP,AR,1987,1,0
FDP,AR,1991,1,0
FDP,AR,1995,2,0.5
FDP,AR,1999,1,1
SP,AR,1971,1,0
SP,AR,1975,1,0
SP,AR,1979,1,0
SP,AR,1983,1,0
SP,AR,1995,3,0.3333333333333333
SP,AR,1999,1,0
SVP,AR,1995,2,0
SVP,AR,1999,1,0
SVP,AR,2019,1,0
CVP,AI,2019,2,0.5
SP,AI,2019,1,0
SVP,AI,2019,1,0
BDP,BL,2011,7,0.14285714285714285
BDP,BL,2015,7,0.5714285714285714
BDP,BL,2019,7,0.2857142857142857
CVP,BL,1971,7,0.14285714285714285
CVP,BL,1975,7,0.14285714285714285
CVP,BL,1979,7,0.14285714285714285
CVP,BL,1983,7,0
CVP,BL,1987,7,0.14285714285714285
CVP,BL,1991,7,0.14285714285714285
CVP,BL,1995,7,0.14285714285714285
CVP,BL,1999,7,0.2857142857142857
CVP,BL,2003,7,0.42857142857142855
CVP,BL,2007,12,0.3333333333333333
CVP,BL,2011,14,0.42857142857142855
CVP,BL,2015,14,0.42857142857142855
CVP,BL,2019,21,0.47619047619047616
FDP,BL,1971,7,0.14285714285714285
FDP,BL,1975,7,0.2857142857142857
FDP,BL,1979,7,0.14285714285714285
FDP,BL,1983,7,0.2857142857142857
FDP,BL,1987,7,0.2857142857142857
FDP,BL,1991,7,0.42857142857142855
FDP,BL,1995,14,0.2857142857142857
FDP,BL,1999,7,0.5714285714285714
FDP,BL,2003,14,0.35714285714285715
FDP,BL,2007,14,0.2857142857142857
FDP,BL,2011,13,0.15384615384615385
FDP,BL,2015,14,0.21428571428571427
FDP,BL,2019,14,0.35714285714285715
GLP,BL,2011,7,0.14285714285714285
GLP,BL,2015,7,0.14285714285714285
GLP,BL,2019,14,0.35714285714285715
GPS,BL,1983,6,0.3333333333333333
GPS,BL,1987,7,0.42857142857142855
GPS,BL,1991,7,0.5714285714285714
GPS,BL,1995,7,0.5714285714285714
GPS,BL,1999,7,0.7142857142857143
GPS,BL,2003,14,0.6428571428571429
GPS,BL,2007,14,0.42857142857142855
GPS,BL,2011,14,0.42857142857142855
GPS,BL,2015,21,0.3333333333333333
GPS,BL,2019,21,0.5238095238095238
SP,BL,1971,7,0.14285714285714285
SP,BL,1975,7,0.14285714285714285
SP,BL,1979,7,0.14285714285714285
SP,BL,1983,7,0.42857142857142855
SP,BL,1987,7,0.42857142857142855
SP,BL,1991,7,0.5714285714285714
SP,BL,1995,7,0.5714285714285714
SP,BL,1999,7,0.5714285714285714
SP,BL,2003,7,0.42857142857142855
SP,BL,2007,14,0.42857142857142855
SP,BL,2011,14,0.42857142857142855
SP,BL,2015,14,0.5714285714285714
SP,BL,2019,21,0.6190476190476191
SVP,BL,1971,7,0.14285714285714285
SVP,BL,1975,7,0.14285714285714285
SVP,BL,1979,7,0.2857142857142857
SVP,BL,1983,7,0
SVP,BL,1987,7,0.14285714285714285
SVP,BL,1991,7,0.14285714285714285
SVP,BL,1995,7,0.2857142857142857
SVP,BL,1999,7,0.42857142857142855
SVP,BL,2003,14,0.07142857142857142
SVP,BL,2007,14,0.14285714285714285
SVP,BL,2011,7,0.14285714285714285
SVP,BL,2015,14,0.2857142857142857
SVP,BL,2019,14,0.35714285714285715
BDP,BS,2011,4,0.25
BDP,BS,2015,4,0
BDP,BS,2019,4,0
CVP,BS,1971,7,0.2857142857142857
CVP,BS,1975,7,0.2857142857142857
CVP,BS,1979,7,0.2857142857142857
CVP,BS,1983,6,0.16666666666666666
CVP,BS,1987,6,0.16666666666666666
CVP,BS,1991,6,0.3333333333333333
CVP,BS,1995,6,0.3333333333333333
CVP,BS,1999,6,0.5
CVP,BS,2003,5,0.4
CVP,BS,2007,10,0.3
CVP,BS,2011,15,0.4666666666666667
CVP,BS,2015,15,0.6
CVP,BS,2019,15,0.4
FDP,BS,1971,14,0.14285714285714285
FDP,BS,1975,14,0.14285714285714285
FDP,BS,1979,14,0.14285714285714285
FDP,BS,1983,12,0.3333333333333333
FDP,BS,1987,12,0.25
FDP,BS,1991,12,0.4166666666666667
FDP,BS,1995,12,0.3333333333333333
FDP,BS,1999,18,0.3888888888888889
FDP,BS,2003,15,0.26666666666666666
FDP,BS,2007,25,0.44
FDP,BS,2011,25,0.16
FDP,BS,2015,35,0.4
FDP,BS,2019,30,0.4666666666666667
GLP,BS,2011,15,0.4
GLP,BS,2015,15,0.3333333333333333
GLP,BS,2019,10,0.4
GPS,BS,1987,6,0.5
GPS,BS,1991,6,0.5
GPS,BS,1995,6,0.5
GPS,BS,1999,6,0.6666666666666666
GPS,BS,2003,10,0.8
GPS,BS,2007,10,0.6
GPS,BS,2011,10,0.8
GPS,BS,2015,10,0.8
GPS,BS,2019,15,0.7333333333333333
SP,BS,1971,7,0.14285714285714285
SP,BS,1975,7,0.2857142857142857
SP,BS,1979,7,0.42857142857142855
