year,category,party,n,share
1971,elected,BDP,0,NaN
1971,elected,CVP,44,0.06818181818181818
1971,elected,FDP,55,0.05454545454545454
1971,elected,GLP,0,NaN
1971,elected,GPS,0,NaN
1971,elected,SP,46,0.06521739130434782
1971,elected,SVP,23,0
1971,running,BDP,0,NaN
1971,running,CVP,191,0.16230366492146597
1971,running,FDP,348,0.16666666666666666
1971,running,GLP,0,NaN
1971,running,GPS,0,NaN
1971,running,SP,247,0.145748987854251
1971,running,SVP,272,0.13970588235294118
1975,elected,BDP,0,NaN
1975,elected,CVP,46,0.10869565217391304
1975,elected,FDP,53,0.09433962264150944
1975,elected,GLP,0,NaN
1975,elected,GPS,0,NaN
1975,elected,SP,55,0.09090909090909091
1975,elected,SVP,21,0
1975,running,BDP,0,NaN
1975,running,CVP,235,0.14042553191489363
1975,running,FDP,319,0.13793103448275862
1975,running,GLP,0,NaN
1975,running,GPS,8,0.25
1975,running,SP,247,0.1862348178137652
1975,running,SVP,198,0.13131313131313133
1979,elected,BDP,0,NaN
1979,elected,CVP,44,0.09090909090909091
1979,elected,FDP,59,0.13559322033898305
1979,elected,GLP,0,NaN
1979,elected,GPS,1,0
1979,elected,SP,51,0.1568627450980392
1979,elected,SVP,23,0
1979,running,BDP,0,NaN
1979,running,CVP,216,0.11574074074074074
1979,running,FDP,265,0.16226415094339622
1979,running,GLP,0,NaN
1979,running,GPS,28,0.25
1979,running,SP,222,0.19369369369369369
1979,running,SVP,211,0.13270142180094788
1983,elected,BDP,0,NaN
1983,elected,CVP,42,0.07142857142857142
1983,elected,FDP,62,0.06451612903225806
1983,elected,GLP,0,NaN
1983,elected,GPS,3,0
1983,elected,SP,47,0.2127659574468085
1983,elected,SVP,23,0
1983,running,BDP,0,NaN
1983,running,CVP,183,0.15846994535519127
1983,running,FDP,263,0.16730038022813687
1983,running,GLP,0,NaN
1983,running,GPS,76,0.32894736842105265
1983,running,SP,224,0.25
1983,running,SVP,217,0.0967741935483871
1987,elected,BDP,0,NaN
1987,elected,CVP,42,0.11904761904761904
1987,elected,FDP,60,0.06666666666666667
1987,elected,GLP,0,NaN
1987,elected,GPS,9,0.3333333333333333
1987,elected,SP,41,0.2926829268292683
1987,elected,SVP,25,0.04
1987,running,BDP,0,NaN
1987,running,CVP,211,0.2037914691943128
1987,running,FDP,296,0.20608108108108109
1987,running,GLP,0,NaN
1987,running,GPS,186,0.44086021505376344
1987,running,SP,279,0.3763440860215054
1987,running,SVP,203,0.15270935960591134
1991,elected,BDP,0,NaN
1991,elected,CVP,35,0.11428571428571428
1991,elected,FDP,54,0.1111111111111111
1991,elected,GLP,0,NaN
1991,elected,GPS,14,0.5714285714285714
1991,elected,SP,41,0.2926829268292683
1991,elected,SVP,25,0.12
1991,running,BDP,0,NaN
1991,running,CVP,303,0.2739273927392739
1991,running,FDP,302,0.27483443708609273
1991,running,GLP,0,NaN
1991,running,GPS,237,0.5063291139240507
1991,running,SP,267,0.45318352059925093
1991,running,SVP,237,0.16877637130801687
1995,elected,BDP,0,NaN
1995,elected,CVP,34,0.14705882352941177
1995,elected,FDP,52,0.17307692307692307
1995,elected,GLP,0,NaN
1995,elected,GPS,8,0.5
1995,elected,SP,54,0.35185185185185186
1995,elected,SVP,29,0.10344827586206896
1995,running,BDP,0,NaN
1995,running,CVP,338,0.3668639053254438
1995,running,FDP,384,0.2864583333333333
1995,running,GLP,0,NaN
1995,running,GPS,256,0.49609375
